TYPE (g - grad/u - undergrad/b - both),school,years,url
u,eaststroudsburg,16-17,https://www.esu.edu/academics/catalog/documents/pdf/undergrad_catalog1617.pdf
g,eaststroudsburg,16-17,https://www.esu.edu/academics/catalog/documents/pdf/grad_catalog1617.pdf
u,eaststroudsburg,17-18,https://www.esu.edu/academics/catalog/documents/pdf/undergrad_catalog1718.pdf
g,eaststroudsburg,17-18,https://www.esu.edu/academics/catalog/documents/pdf/grad_catalog1718.pdf
u,eaststroudsburg,18-19,https://www.esu.edu/academics/catalog/documents/undergrad_catalog1819.pdf
g,eaststroudsburg,18-19,https://www.esu.edu/academics/catalog/documents/grad_catalog1819.pdf
u,eaststroudsburg,19-20,https://www.esu.edu/academics/catalog/documents/undergrad_catalog1920.pdf
g,eaststroudsburg,19-20,https://www.esu.edu/academics/catalog/documents/grad_catalog1920b.pdf
u,framingham,16-17,https://www.framingham.edu/Assets/uploads/academics/catalogs/_documents/undergraduate-catalogs/2016-2017-undergraduate-catalog/undergraduate-catalog-2016-2017.pdf
g,framingham,16-17,https://www.framingham.edu/Assets/uploads/academics/catalogs/_documents/graduate-catalogs/2016-2017-graduate-catalog/graduate-catalog-2016-2017.pdf
u,framingham,17-18,https://www.framingham.edu/Assets/uploads/academics/catalogs/_documents/undergraduate-catalogs/2017-2018-undergraduate-catalog/undergraduate-catalog-2017-2018.pdf
g,framingham,17-18,https://www.framingham.edu/Assets/uploads/academics/catalogs/_documents/graduate-catalogs/2017-2018-graduate-catalog/graduate-catalog-2017-2018.pdf
u,framingham,18-19,https://www.framingham.edu/Assets/uploads/academics/catalogs/_documents/undergraduate-catalogs/2018-2019-undergraduate-catalog/undergraduate-catalog-2018-2019.pdf
g,framingham,18-19,https://www.framingham.edu/Assets/uploads/academics/catalogs/_documents/graduate-catalogs/2018-2019-graduate-catalog/graduate-catalog-2018-2019.pdf
u,framingham,19-20,https://www.framingham.edu/Assets/uploads/academics/catalogs/_documents/undergraduate-catalogs/2019-2020-undergraduate-catalog/undergraduate-catalog-2019-2020.pdf
