TYPE (g - grad/u - undergrad/b - both),school,years,url
b,wesleyan,16-17,https://wesfiles.wesleyan.edu/departments/Reg/Course%20Catalog/Public/WesleyanUniversityCatalog2016-2017.pdf
b,wesleyan,17-18,https://wesfiles.wesleyan.edu/departments/Reg/Course%20Catalog/Public/WesleyanUniversityCatalog2017-2018.pdf
b,wesleyan,18-19,https://catalog.wesleyan.edu/pdf/2018-2019.pdf
b,wesleyan,19-20,https://catalog.wesleyan.edu/pdf/2019-2020.pdf
b,williamjewell,19-20,https://jewell.edu/sites/default/files/pdf/2019-2020_course_catalog.pdf
u,williammary,16-17,https://www.wm.edu/offices/registrar/documents/catalog/prioryearcatalogs/UG201617Catalog.pdf]
g,williammary,16-17,https://www.wm.edu/offices/registrar/documents/catalog/prioryearcatalogs/GRAD2016-17Catalog.pdf
u,williammary,17-18,https://www.wm.edu/offices/registrar/documents/catalog/prioryearcatalogs/2017-18-UG-Catalog-Master-File-w.-Table-of-Contents.pdf
g,williammary,17-18,https://www.wm.edu/offices/registrar/documents/catalog/prioryearcatalogs/2017-18-GRAD-Catalog-Master-File-w.-Table-of-Contents.pdf
u,williammary,18-19,https://www.wm.edu/offices/registrar/documents/catalog/prioryearcatalogs/2018-19ugcatalogtoc.pdf
g,williammary,18-19,https://www.wm.edu/offices/registrar/documents/catalog/prioryearcatalogs/2018-19gradcatalogtoc.pdf
u,williammary,19-20,https://www.wm.edu/offices/registrar/documents/catalog/prioryearcatalogs/ug201920catalog.pdf
g,williammary,19-20,https://www.wm.edu/offices/registrar/documents/catalog/prioryearcatalogs/grad2019-20catalog.pdf
u,williamwoods,16-17,https://www.williamwoods.edu/current_students/registrar/docs/catalogs/1617-undergraduate.pdf
g,williamwoods,16-17,https://www.williamwoods.edu/current_students/registrar/docs/catalogs/1617-graduate.pdf
u,williamwoods,17-18,https://www.williamwoods.edu/current_students/registrar/docs/catalogs/1718-undergraduate.pdf
g,williamwoods,17-18,https://www.williamwoods.edu/current_students/registrar/docs/catalogs/1718-graduate.pdf
u,williamwoods,18-19,https://www.williamwoods.edu/current_students/registrar/docs/catalogs/1819-catalog.pdf
g,williamwoods,18-19,https://www.williamwoods.edu/current_students/registrar/docs/catalogs/1819-catalog.pdf
u,williamwoods,19-20,https://www.williamwoods.edu/current_students/registrar/docs/catalogs/1920-catalog.pdf
g,williamwoods,19-20,https://www.williamwoods.edu/current_students/registrar/docs/catalogs/1920-catalog.pdf
u,youngstown,18-19,https://catalog.ysu.edu/pdf/2018-2019-ugrad.pdf
g,youngstown,18-19,https://catalog.ysu.edu/pdf/2018-2019-grad.pdf
u,youngstown,19-20,https://catalog.ysu.edu/pdf/2019-2020-ugrad.pdf
g,youngstown,19-20,https://catalog.ysu.edu/pdf/2019-2020-grad.pdf




