,School,CourseID,Descriptions
0,Williamwoods,P SCA 111 Introduction to Sociology ,P PSY 101 General Psychology I OR  
1,Williamwoods,P PSY 102 General Psychology II ,"P In addition, MAT 114 Elementary Statistics is highly recommended "
