,term,frequency,overall,rank
618,project managment,3,32,1.3109503885057758
477,management quantitative,1,32,1.2112310855074966
205,departmental approval,14,32,1.1810655217095603
194,datum analysis,11,32,1.1660132953351592
347,hoursprereq departmental,10,32,1.0087834909945617
777,technique digital,1,32,0.7821593074212798
799,topographic map,1,32,0.7143923650709846
199,decision make,4,32,0.5939811332819604
33,analysis probability,4,32,0.5817793592962676
245,education two,4,32,0.4900286278846817
