,term,frequency,overall,rank
503,result prereq,1,70,2.1451808003739328
610,understand context,1,70,2.1091913890342964
437,prereq hphy,1,70,2.1011653849024894
53,artificial intelligence,10,70,1.7731128011761557
254,gis project,2,70,1.4473220585274476
122,data collection,3,70,1.3293226573306214
140,datum prereq,1,70,1.3269234986643685
95,computer simulation,4,70,1.2511337284993391
135,datum analytic,1,70,1.179131271131685
316,knowledge representation,4,70,1.1187972848207859
