,term,frequency,overall,rank
457,topic include,10,17,0.8837737465429473
313,prerequisite math,5,17,0.6581056219895949
252,meet ci,5,17,0.5302527689117076
311,prerequisite cpsc,3,17,0.5266494066667382
384,satisfactory score,3,17,0.5006550289467386
80,core outcomes,4,17,0.4953935327882677
282,outcomes meet,4,17,0.4953935327882677
99,datum analysis,4,17,0.4608555012846798
404,social sciences,4,17,0.44856095819709074
403,social science,8,17,0.44856095819709074
