,term,frequency,overall,rank
564,project managment,3,32,1.3802979328895981
427,management quantitative,1,32,1.2636870656479717
191,departmental approval,14,32,1.2246583849384476
170,data analysis,9,32,0.9482943730336789
181,datum analysis,4,32,0.6773091895019275
34,analysis probability,4,32,0.6236801583112205
186,decision topic,3,32,0.5539879753592374
521,preparation actual,1,32,0.5275176578486855
296,fulltime teaching,4,32,0.5275176578486855
372,issue credential,4,32,0.5275176578486855
