Catalog Name,Line of first course,Line of last course,XML Format (<p> course ID / Name / Credits </p><p>desc</p><p></p>,XML Style ,Who Checked,Special Notes
UniOfChicago,2079,35752,<p>Course ID title credits</p> blank line <p>desc </p>,uniOfChicago,James,
VirginiaTech,12140,31439,<P> Course Id Title desc prereqs credits </p>,virginia / clemonU?,Gabe,
WilliamJewell,4313,15838,<NormalParagraphStyle>Course ID Title credits </NormalParagraphStyle> blank line <NormalParagraphStyle> desc prereq </NormalParagraphStyle> blank line <NormalParagraphStyle/>,william,Gabe,Break Line between courses
Williamwoods,59049,71509,<p>course ID Title</p> blank line <p>desc prereq</p> blank line <p>credits</p> blank line,woods,James,Theres a break inbetween undergraduate and graduate courses
Youngstown,33004,425699,<p> <p>course Id Title Credits </p>blankline<p>desc<p/>pre-req<p/></p></p>blankline,young,Group,
Fontbonne,,,Xml File has almost nothing,,Gabe,Reconvert XML
Kalamazoo,,,,,,Not easlily parsed
LehighUni,,,,,,XML doesn't match PDF
Northwestern,2693,26757,<p>Course ID Title (credits)</p> blank line <p>Desc</p>,,James,Some courses are put into the same line of code
NotreDame,7435,18671,<P> CourseID CourseTitle (tab) Credits </P> (blankline) <P> CourseDesc </P> (blankline) <P> </P>,,ethan,"Courses have the department info intermixed within; Some courses are listed in two different departments; Before every major/department's course listing there is an <H3 id=""LinkTarget_(4digitNum)""> COURSE OFFERINGS </H3> "
Pepperdine,5026,16308,<p> Course ID title (credits) </p> blank line <p> desc </p> blank line,,James,
Pittsburgh,45509,66557,<p>Course ID title </p> blank line <p>Min Credits Max Credits description</p> blank line,,James,
Purdue,68,45512,<p> Course ID title </p> blank line <p>credits descr</p> blank line <p> </p>,,James,
Rochester,580,4900,<p> Course ID title descr prereq</p>,,James,
Rollins,,,,,ethan,
RowanUniversity,55212,68992,<p>Course ID Title credits</p> blank line <p>prereq</p> blank line <p>desc</p> blank line,,James,
SaintXavier,48203,60693,<P>newline<P>CourseID</P> blankline <P> Credit Hours </P> blankline <P> Pre/Co-reqs </P> blankline <P> Course Desc </P> newline </P>,,ethan,
TexasA_M,11649,85225,<P>CourseIDNum CourseTitle Credits</P> blank line <P> Course Description </P> blankline <P> </P>,,ethan,
2011Cornell?,,,,,,
